"?ltimo: Tiempo (s)","?ltimo: Angulo (rad)","?ltimo: Velocidad (rad/s)","?ltimo: Aceleraci?n (rad/s?)"
6.5,-33.231068958,0,0
6.55,-33.231068958,0,0
6.6,-33.231068958,0,0
6.65,-33.231068958,0,0
6.7,-33.231068958,0,0
6.75,-33.231068958,0,0
6.8,-33.231068958,0,0
6.85,-33.231068958,0,0
6.9,-33.231068958,0,0
6.95,-33.231068958,0,0
7,-33.231068958,0,0
7.05,-33.231068958,0,0
7.1,-33.231068958,0,0
7.15,-33.231068958,0,0
7.2,-33.231068958,0,0
7.25,-33.231068958,0,0
7.3,-33.231068958,0,0
7.35,-33.231068958,0,0
7.4,-33.231068958,0,0
7.45,-33.231068958,0,0
7.5,-33.231068958,0,0
7.55,-33.231068958,0,0
7.6,-33.231068958,0,0
7.65,-33.231068958,0,0
7.7,-33.231068958,0,0
7.75,-33.231068958,0,0
7.8,-33.231068958,0,0
7.85,-33.231068958,0,0
7.9,-33.231068958,0,0
7.95,-33.231068958,0,0
8,-33.231068958,0,0
8.05,-33.231068958,0,0
8.1,-33.231068958,0,0
8.15,-33.231068958,0,0
8.2,-33.231068958,0,0
8.25,-33.231068958,0,0
8.3,-33.231068958,0,0
8.35,-33.231068958,0,0
8.4,-33.231068958,0,0
8.45,-33.231068958,0,0
8.5,-33.231068958,0,0
8.55,-33.231068958,0,0
8.6,-33.231068958,0,0
8.65,-33.231068958,0,0
8.7,-33.231068958,0,0
8.75,-33.231068958,0,0
8.8,-33.231068958,0,0
8.85,-33.231068958,0,0
8.9,-33.231068958,0,0
8.95,-33.231068958,0,0
9,-33.231068958,0,0
9.05,-33.231068958,0,0
9.1,-33.231068958,0,0
9.15,-33.231068958,0,0
9.2,-33.231068958,0,0
9.25,-33.231068958,0,0
9.3,-33.231068958,0,0
9.35,-33.231068958,0,0
9.4,-33.231068958,0,0
9.45,-33.231068958,0,0
9.5,-33.231068958,0,0
9.55,-33.231068958,0,0
9.6,-33.231068958,0,0
9.65,-33.231068958,0,0
9.7,-33.231068958,0,0
9.75,-33.231068958,0,0
9.8,-33.231068958,0,0
9.85,-33.231068958,0,0
9.9,-33.231068958,0,0
9.95,-33.231068958,0,0
10,-33.231068958,0,0
