"??ltimo: Tiempo (s)","??ltimo: Angulo (rad)","??ltimo: Velocidad (rad/s)","??ltimo: Aceleraci??n (rad/s??)"
6.9,-16.5108147239,0,0
6.95,-16.5108147239,0,0
7,-16.5108147239,0,0
7.05,-16.5108147239,0,0
7.1,-16.5108147239,0,0
7.15,-16.5108147239,0,0
7.2,-16.5108147239,0,0
7.25,-16.5108147239,0,0
7.3,-16.5108147239,0,0
7.35,-16.5108147239,0,0
7.4,-16.5108147239,0,0
7.45,-16.5108147239,0,0
7.5,-16.5108147239,0,0
7.55,-16.5108147239,0,0
7.6,-16.5108147239,0,0
7.65,-16.5108147239,0,0
7.7,-16.5108147239,0,0
7.75,-16.5108147239,0,0
7.8,-16.5108147239,0,0
7.85,-16.5108147239,0,0
7.9,-16.5108147239,0,0
7.95,-16.5108147239,0,0
8,-16.5108147239,0,0
8.05,-16.5108147239,0,0
8.1,-16.5108147239,0,0
8.15,-16.5108147239,0,0
8.2,-16.5108147239,0,0
8.25,-16.5108147239,0,0
8.3,-16.5108147239,0,0
8.35,-16.5108147239,0,0
8.4,-16.5108147239,0,0
8.45,-16.5108147239,0,0
8.5,-16.5108147239,0,0
8.55,-16.5108147239,0,0
8.6,-16.5108147239,0,0
8.65,-16.5108147239,0,0
8.7,-16.5108147239,0,0
8.75,-16.5108147239,0,0
8.8,-16.5108147239,0,0
8.85,-16.5108147239,0,0
8.9,-16.5108147239,0,0
8.95,-16.5108147239,0,0
9,-16.5108147239,0,0
9.05,-16.5108147239,0,0
9.1,-16.5108147239,0,0
9.15,-16.5108147239,0,0
9.2,-16.5108147239,0,0
9.25,-16.5108147239,0,0
9.3,-16.5108147239,0,0
9.35,-16.5108147239,0,0
9.4,-16.5108147239,0,0
9.45,-16.5108147239,0,0
9.5,-16.5108147239,0,0
9.55,-16.5108147239,0,0
9.6,-16.5108147239,0,0
9.65,-16.5108147239,0,0
9.7,-16.5108147239,0,0
9.75,-16.5108147239,0,0
9.8,-16.5108147239,0,0
9.85,-16.5108147239,0,0
9.9,-16.5108147239,0,0
9.95,-16.5108147239,0,0
10,-16.5108147239,0,0
